block_id,center_x_utm,center_y_utm,lat,lon,min_elev_m,max_elev_m,mean_elev_m,max_slope_deg,mean_slope_deg,steep_ratio,mean_aspect_deg
BLK_1KM_0001,398000.7034563383,2544024.0398665443,23.00143,92.00473,0.0,70.42757415771484,31.658392355103807,49.063358306884766,6.883189270653114,0.057,123.20042171280276
BLK_1KM_0002,398000.7034563383,2545024.0398665443,23.01046,92.00466,37.66738510131836,69.4398193359375,52.09945731509516,23.671049118041992,7.899272139922146,0.0,174.6046983131488
BLK_1KM_0003,398000.7034563383,2546024.0398665443,23.01949,92.0046,0.0,70.41535949707031,51.70485879010696,64.34257507324219,8.284223206327987,0.028,183.25420565953652
BLK_1KM_0004,398000.7034563383,2547024.0398665443,23.02852,92.00453,0.0,65.41767883300781,43.67058755947232,63.61288070678711,7.012675037846021,0.057,175.53042549740485
BLK_1KM_0005,398000.7034563383,2548024.0398665443,23.03756,92.00446,0.0,60.56906127929688,44.82690514165225,63.09130859375,8.577422990105969,0.057,183.4978508866782
BLK_1KM_0006,398000.7034563383,2549024.0398665443,23.04659,92.0044,0.0,69.91238403320312,45.53015516868512,62.86798858642578,9.300492336180795,0.059,173.12427011245674
BLK_1KM_0007,398000.7034563383,2550024.0398665443,23.05562,92.00433,0.0,67.79157257080078,43.03167914684256,55.430397033691406,7.756463390733131,0.057,179.7388489403114
BLK_1KM_0008,398000.7034563383,2551024.0398665443,23.06465,92.00427,0.0,63.30399703979492,41.00100963680927,43.37801361083984,7.728768034202317,0.053,188.9153854723708
BLK_1KM_0009,398000.7034563383,2552024.0398665443,23.07368,92.0042,0.0,72.52867126464844,50.20764962694636,48.07651519775391,9.283745471993944,0.057,185.0983185553633
BLK_1KM_0010,398000.7034563383,2553024.0398665443,23.08272,92.00413,0.0,74.9610366821289,45.61789373378028,50.49759292602539,6.86755920198962,0.057,203.50719074394465
BLK_1KM_0011,398000.7034563383,2554024.0398665443,23.09175,92.00407,0.0,77.70427703857422,56.20640949394463,48.2873649597168,10.768832619214963,0.059,190.5475508217993
BLK_1KM_0012,398000.7034563383,2555024.0398665443,23.10078,92.004,0.0,82.23973846435547,58.51242160467128,55.6198844909668,11.816837086397058,0.057,184.8269490700692
BLK_1KM_0013,398000.7034563383,2556024.0398665443,23.10981,92.00393,0.0,77.6922836303711,47.7959698083779,51.74446487426758,7.107595950311943,0.055,187.23058712121207
BLK_1KM_0014,398000.7034563383,2557024.0398665443,23.11884,92.00387,0.0,90.52472686767578,62.04957828719724,52.93202590942383,11.075563635380623,0.057,188.5936553849481
BLK_1KM_0015,398000.7034563383,2558024.0398665443,23.12788,92.0038,0.0,87.48396301269531,58.52757352941177,51.64813232421875,10.449342932255623,0.057,190.57973345588235
BLK_1KM_0016,398000.7034563383,2559024.0398665443,23.13691,92.00373,0.0,104.03123474121094,62.7873999783737,55.74702835083008,9.276109530439014,0.059,196.5144625865052
BLK_1KM_0017,398000.7034563383,2560024.0398665443,23.14594,92.00367,0.0,106.82843780517578,77.45287494593425,58.27452850341797,10.708322069636678,0.057,180.3023626730104
BLK_1KM_0018,398000.7034563383,2561024.0398665443,23.15497,92.0036,0.0,109.1513900756836,79.69527072192513,61.14884948730469,11.29095469864082,0.055,164.80936664438502
BLK_1KM_0019,398000.7034563383,2562024.0398665443,23.164,92.00353,0.0,108.23957061767578,63.6965830449827,61.35719680786133,11.104860510380623,0.057,173.33180147058823
BLK_1KM_0020,398000.7034563383,2563024.0398665443,23.17304,92.00347,0.0,123.52777862548828,67.84623026600346,56.757137298583984,12.22755764759948,0.058,187.77438365051904
BLK_1KM_0021,398000.7034563383,2564024.0398665443,23.18207,92.0034,0.0,138.85064697265625,78.15274924307958,61.508419036865234,14.665540860185986,0.069,173.2188310986159
BLK_1KM_0022,398000.7034563383,2565024.0398665443,23.1911,92.00333,0.0,147.0266876220703,78.69154141435986,57.940765380859375,15.125346358672145,0.064,176.6984483131488
BLK_1KM_0023,398000.7034563383,2566024.0398665443,23.20013,92.00326,0.0,168.0927734375,101.38137299956747,66.4057846069336,15.782388759731834,0.07,185.9296875
BLK_1KM_0024,398000.7034563383,2567024.0398665443,23.20916,92.0032,0.0,239.91537475585935,139.31048072638146,69.46422576904297,16.347454322638146,0.058,183.5323780080214
BLK_1KM_0025,398000.7034563383,2568024.0398665443,23.21819,92.00313,0.0,223.3417816162109,151.06498702422147,73.95816040039062,13.470241876621971,0.057,180.88724589100343
BLK_1KM_0026,398000.7034563383,2569024.0398665443,23.22723,92.00306,0.0,229.92466735839844,160.32211018598616,75.07962799072266,11.549157588127162,0.067,170.66606293252596
BLK_1KM_0027,398000.7034563383,2570024.0398665443,23.23626,92.003,0.0,239.63580322265625,134.161129433391,75.81725311279297,15.563620174632351,0.104,125.4562608131488
BLK_1KM_0028,398000.7034563383,2571024.0398665443,23.24529,92.00293,0.0,228.66378784179688,146.90356022923876,75.46517181396484,15.818673632136678,0.088,140.154303633218
BLK_1KM_0029,398000.7034563383,2572024.0398665443,23.25432,92.00286,0.0,252.93685913085935,171.74221535204993,79.86222076416016,11.880533854166666,0.066,133.96100713012478
